1	indah pantainya sayang pemerintah kurang peduli akses jalannya jalannya sempit sisipan bus bikin macet berkunjung peningkatan akses pelebaran jalan kesana	Aksesbilitas
1	view bagus resto resto indrayanti masakannya lumayan harganya sesuai sayangnya banyak ubur bulu babi banyak main air tersengat hewan rescue cepat	Aksesbilitas
1	bersih pedagang banyak tutup view bagus	Kebersihan
1	oke main foto makan minum tempatnya dibersihkan biar lalatnya banget ðÿ˜•	Kebersihan
1	sampahnya tolong sampahnya diletakkan dit banyak	Kebersihan
1	fasilitas kurang kebanyakan toilet jajanan mahal	Fasilitas
1	pantai dilarang berenang batu pasir berbahaya berenang fasilitas seadanya recomended turis	Fasilitas
1	pantainya bersih batu karangnya airnya jernih sayang bilas kurang banyak ibadah kurang luas	Fasilitas
1	puas huhuhuhmmmm	Daya Tarik
1	waktu indah momen lupakan kelas waktu kesana teka ovyu yu pantai indrayanti	Daya Tarik
1	ombaknya kadang berbahaya	Aksesbilitas
1	jauh banget lokasinya macet kadang	Aksesbilitas
1	pantai indah ombak bergelombang tinggi coba cobaain ketengah laut kidul terkenal ombaknya perjalanan lumayan jogjakarta	Aksesbilitas
1	pantai pasir putih ramai ombaknya lumayan rekomendasi pas pagi panas enak pagi sejuk pas sunset nyoba	Daya Tarik
1	pantai indah pemandangan indah jaraknya jauh pantainya indah	Daya Tarik
1	pantai indah ramai pengunjung jogja istimewa	Daya Tarik
1	pantai bagus anak anak suka	Daya Tarik
1	cocok liburan keluarga	Daya Tarik
1	pantainya bersih indah ombaknya	Kebersihan
1	benaran bagus gengs tempatnya htm murah pol parkir gratis abang foto keliling bayar rb file foto	Fasilitas
1	lokasinya jauh	Aksesbilitas
1	indahnya keanekaragaman biota laut disana bintang laut	Daya Tarik
1	eksotis	Daya Tarik
1	deskripsipantai pulang sawal disingkat pantai pulsa salah pantai menarik eksotis dusun ngasem	Daya Tarik
1	menyesal kemari pantainya bagus banget	Daya Tarik
1	ramai banyak meninggalkan sampah	Kebersihan
1	ramai pemandangannya	Daya Tarik
1	pantai indah letaknya berdekatan pantai lainya menang cantik kesini pas surut ikan didaerah karang	Daya Tarik
1	pemandangan atas tebingnya sungguh bagus atas membayar	Daya Tarik
1	kotor	Kebersihan
1	recommended mencari liburan indah suasana pasir putih karang karang pemandangan menakjubkan	Daya Tarik
1	pantai cantik daerah selatan jawa pasirnya halus warna airnya jernih	Daya Tarik
1	bagus pantai pasir putih agak ramai	Daya Tarik
1	kadang kotor pas weekend ramai banget	Kebersihan
1	pasirnya keren bersih banget	Kebersihan
1	pantai indah asik liburan keluarga	Daya Tarik
1	indah sayang kurang luas tempatnya pemandangan atas bukit keren	Daya Tarik
1	indahnya tertandingi bermain pantai betah berlama	Daya Tarik
1	ramai pengunjung jorok banyak sampah	Kebersihan
1	bagus pantainya ombaknya lumayan	Daya Tarik
1	asik pasir putih gunung karang serasa bali	Daya Tarik
1	jorok	Kebersihan
1	pantai terkenal nih nyaman bermain anak anak keluarga	Daya Tarik
1	ramai bikin kotor	Kebersihan
1	pantai pasir putih pemandangan indah	Daya Tarik
1	pantai indah dikelilingi batu karang tinggi pasir putih indah dipandang terletak gunungkidul jogjakarta recommend liburan kepantai	Daya Tarik
