1	lu keren koh panutan generasi muda mimpi nge direct film goodluck film imperfect	1
1	film menceritakan body shaming	2
1	film ceritanya cewek gendut kurus	2
1	wow mas reza rahadian	2
1	kasih lakilaki dika please	2
1	so sweet banget si dika rara	2
1	benar keadilan sosial rakyak good looking	2
1	duh andai pacar kayak dika	2
1	semangat rara	2
1	rara deh dicintai cowoknya	2
2	sheila dara film nkcthi mantannya vidi aldiano sih	2
2	kale ganteng banget keren deh ardhito pramono	2
2	kehidupan tokoh nkcthi keluarga berkecukupan semuauntuk menggambarkan anak karyawan bank kurasa keluarga tajir banget agak abmormal sih memaklumi scene ditunjukan rumah tempati warisan keluarga ajeng istrinya	2
2	awan dihubungi harusnya angkasa kale awan cerita kale sumber konflik	2
2	eh rio dewanto film nkcthi my idola	2
2	mikir kejauhan kale saudara kembar awan diadopsi ahhaa ngira kayak gini	2
2	menyepelekan ditanggapi wajar sang wajah si anak meninggal si baru siuman	2
2	maaf agak spoiler akhir film diceritakan sumber segala konflik rumah adiknya awan sepengetahuan ibunya eh meninggal lahir seheboh	2
2	hehehe rio dewanto ganteng banget	2
2	awan cantik banget	2
3	semoga sequel bagus ceritanya semoga berat berat lanjutkan bumi langit	2
3	cepat bangga pencapaian film gundala mengoreksi kekurangan banyak komentar sukses	2
3	abina film gundala berwibawa	2
3	gundala menampilkan sancaka bocah	2
4	nonton film garis biru posesif gendre filmku sungguh mudah ditebak	2
4	baru nonton film garis birumenurut gua jauh realita film cowo tanggung rela ngurusin anak sendirisedangkan cewe pergi negeri wujudin impian	2
4	gabut nonton film garis biru baru sadar bodoh banget tu cowok dalem rumit	2
4	tolong kaji penayangan film garis biru	2
4	zahraaaaa lucu banget film garis biru	2
4	maknamakna tersendiri naskah ditulis gina noer membiarkan penonton larut alunan ceritanya filmdua garis biru gina snoer penulis naskah	2
5	wuaaa bikin nostalgia pas kampoeng kidzzz ketemu kakak selamat pagi indonesiaaa	2
5	adegan sayidah nonjok clay real banget no kaleng	2
5	ajil dito gua	2
10	cowo protektif tuh kayak bodyguard ugalugalan aza dipinggirin cowo posesif tuh kayak satpam kompleks disamperin macem id card segala	2
10	mendingan gue nonton bodyguard ugalugalan temen gue	2
10	iya ugal ugalan bodyguard syahrini	2
10	setalah gugel judulnya bodyguard ugal ugalan mba	2
10	berpikir lagu syahrini ost bodyguard ugalugalan gubrak gubrak jeng jeng runaway babynya bruno mars	2
10	gada ngeladenin nonton bodyguard ugalugalan	2
10	salfokk si nicole deh	2
10	tamara tua cakep ajeee	2
10	sukakkk boris disiniii kwkw	2
10	loloxx idola aingggg	2
11	nontonnya film rafathar nobar anakku frozen	2
11	film rafathar	2
11	fix film rafathar	2
11	dibanding film rafathar	2
11	film rafathar mind blowing banget loh	2
11	kemana move on film rafathar	2
11	rafathar wkakaka berpikiran nonton film	2
11	tau film rafathar	2
11	rafathar kayak niru film baby days out	2
11	halah boong bilang lu nunggu film rafathar	2
11	ra pictures garap film rafathar si	2
11	rafathar mini main film	2
11	mnctv nayangin film rafathar	2
11	tuhan baru nonton sinetron azab indosiar humornya ngelebihin film rafathar raffi ahmad hahahahaha	2
11	coming soon oktalogi film rafathar	2
11	biar film sekelas rafathar cuman film rafathar doang dibully	2
11	rafathar larinya bikin emess	2
11	baby day out versi indonesia haha	2
11	gemesh banget yaallah rafatar	2
11	rafatar lucu banget semoga rafatar pintar rafatar lucu gemes	2
12	nanya kuntilanak md	2
12	ngajak film kuntilanak	2
12	pas tweet kirain poster film kuntilanak	2
12	kebanyakan nonton film kuntilanak ah masnya wkwk	2
12	mood jelek diving mending nonton film kuntilanak	2
12	ehhhh film pocong vs kuntilanak	2
12	tau setan kuntilanak pakeannya putih film	2
13	nonton film hanum rangga merinding live tv	2
13	film diadaptasi novel hanum rangga	2
13	tidur gara kepikiran meranin tokoh rangga film hanum rangga	2
13	hanum rais promosi film hanum rangga	2
13	sesungguhnya film hanum rangga cerminan pasangan suami istri impian gmna	2
13	anjay hanum rangga trans film korban politik wkwk	2
13	poster sekuwel film hanum rangga	2
13	film hanum rangga ape mak	2
13	film hanum rangga kemarin promo buy get sih min kayaknya deh eh gimana	2
1	official poster film imperfect karier cinta timbangan kenalin rara dika rara suka insecure fisiknya dika bilang sayang rara penasaran cerita imperfect karier cinta timbangan tayang bioskop tanggal desember	2
1	totalitas batas perannya film imperfect jessica mila menaikan berat badan kg	2
1	totalitas batas perannya film imperfect jessica mila menaikan berat badan kg	2
1	sabar film imperfect biokop	2
1	penampilan jessica mila film imperfect nyaris dikenali saking bedanya simak video selengkapnya	2
1	koh target penonton film imperfect	2
1	ernest prakasa bantah video reza rahadian mencium kiky saputri gimmick film imperfect penjelasan ernest	2
1	ernest prakasa bantah video reza rahadian mencium kiky saputri gimmick film imperfect penjelasan ernest	2
1	nonton film imperfect pacarnya rara namanya dika anjas dika inget crush pas anday pacar kaya dika anday dika rl sikapnya kaya dika pilem	2
1	nonton film imperfect	2
1	film imperfect kim jennie as rara	2
1	why oh why did people only film imperfect excuse me wan na hear the other one	2
1	why oh why did people only film imperfect excuse me wan na hear the other one	2
1	nonton bareng tim kiss fm film imperfect xxi rcw loo tungguin updatean kegiatan nobarnya timeline rekan sebaya	2
1	ngobrolin film imperfect nonton film ernestprakasa	2
1	nonton bareng tim kiss fm film imperfect xxi rcw loo tungguin updatean kegiatan nobarnya timeline rekan sebaya	2
1	ngobrolin film imperfect nonton film ernestprakasa	2
1	penulis meira anastasia banyak benturan suaminya komika sutradara ernest prakasa menulis skenario film imperfect	2
1	penulis meira anastasia banyak benturan suaminya komika sutradara ernest prakasa menulis skenario film imperfect	2
1	jakarta juni bersamaan presscon film imperfect produser starvision chand parwez servia produser ernest prakasa penghargaan bene dion sutradara ghost writer atas	2
1	meira anastasia banyak ambil penulisan naskah film imperfect	2
