pantainya bagus bersih pasirnya putih serpihan pecahan karang cocok bermain air anak anak;Kebersihan;Daya Tarik;0.17860689759254456;0.0028372472152113914;0.8053742051124573;0.013181665912270546
jarak tempuh lumayan cepat dibanding pantai wonosari akses mudah roda roda dilarang kondisi jalan sempit disana alam membawa pikiranmu jauh hiruk pikuk kota syahdu;Aksesbilitas;Aksesbilitas;2,92E+09;0.9999849796295166;1,35E+11;1,28E+09
aneh ibuk ibuk usia jalannya jauh banget hehehe terjal;Aksesbilitas;Aksesbilitas;3,14E+10;0.9959122538566589;0.003913599066436291;0.00014278330490924418
bentuk pantainya terbuka banyak pohon khas pantai berteduh panas siang ngecamp harus menjaga kebersihan merawat fasilitas tersedia wisatawan nyaman;Fasilitas;Fasilitas;0.0005326728569343686;0.0002794772444758564;7,27E+10;0.9991151690483093
salah pantai terbaik daerah gunung kidul pantainya agak terpencil aksesnya mudah terjangkau spot pantai cocok ngecamp aman memiliki lahan luas tinggi bibir pantai aman ombak;Aksesbilitas;Aksesbilitas;0.000609594164416194;0.994632363319397;0.000420901837060228;0.004337180405855179
ramai cocok tebing ngolang sunsetnya cantik;Daya Tarik;Daya Tarik;0.9999524354934692;5,41E+10;2,17E+11;2,05E+09
jorok pantai kotor;Kebersihan;Kebersihan;2,95E+09;0.000398432050133124;0.9994887113571167;0.0001098232387448661
pantai indah pemandangan atas ketinggian pantai watu lawang cocok suka ngecamp indah pemandangan pantai malam;Daya Tarik;Daya Tarik;0.9632057547569275;0.0354628749191761;0.0010085368994623423;0.0003228952700737864
pantainya asri pengunjung pemandangan alam kiri kanan indah â™¡;Daya Tarik;Daya Tarik;0.9999606609344482;3,69E+10;5,20E+08;1,92E+10
pemandangan laut kidul pasirnya putih recommended dikunjungi sore;Daya Tarik;Daya Tarik;0.9919729232788086;0.001075397594831884;0.004871150478720665;0.002080518053844571
tempatnya bagus airnya jernih bersih pantainya snorkeling;Kebersihan;Kebersihan;7,91E+09;5,11E+09;0.9997937083244324;0.00012210142449475825
mobil sepi cocok nyari suasana tenang;Aksesbilitas;Aksesbilitas;0.0010481664212420583;0.998794436454773;2,76E+11;0.0001298176503041759
suka karang pas air laut nabrak karang keliatan bagus tebing sayang musti bayar sunset mataharinya kehalang tebing;Daya Tarik;Daya Tarik;0.9998499155044556;8,07E+09;4,92E+09;6,45E+10
pantai indah selatan gunungkidul aman sikecil ombak tunda ketahan pulau tengahnya kombinasi pasir putih karang pulau nyewa kano ribu sepuasnya mantul;Aksesbilitas;Aksesbilitas;5,74E+09;0.9997743964195251;0.00018217168690171093;3,77E+11
harus jalan kirang menitan lupa bawa akua pakai sendal gunung sendal jepit sepatu kebayar pas pemandangannya sih tempatnya relatif sepi pinggir pantainya mendirikan tenda ombak lumayan agak kenceng;Daya Tarik;Daya Tarik;0.999950647354126;2,65E+10;1,57E+11;7,15E+09
keren pemandangannya tatanan beton unik pemecah ombak lupa hati hati ombak disana;Daya Tarik;Daya Tarik;0.9997251629829407;0.0002692383131943643;2,49E+09;3,13E+09
