pantai bagus bersih pasir putih serpih pecah karang cocok main air anak anak	Kebersihan	Daya Tarik	0.032611072063446045	0.0012259030481800437	0.9618374705314636	0.004325493238866329
jarak tempuh lumayan cepat banding pantai wonosari akses mudah roda roda larang kondisi jalan sempit sana alam bawa pikir jauh hiruk pikuk kota syahdu	Aksesbilitas	Aksesbilitas	5.834630428580567e-05	0.9996705055236816	4.891331627732143e-06	0.0002662352635525167
aneh ibuk ibuk usia jalan jauh banget hehehe terjal	Daya Tarik	Aksesbilitas	0.7598567605018616	0.18249721825122833	0.006326299626380205	0.05131971091032028
bentuk pantai buka banyak pohon khas pantai teduh panas siang ngecamp harus jaga bersih rawat fasilitas sedia wisatawan nyaman	Fasilitas	Fasilitas	5.393277024268173e-05	9.946771751856431e-05	0.04923871159553528	0.9506078958511353
salah pantai baik daerah gunung kidul pantai agak pencil akses mudah jangkau spot pantai cocok ngecamp aman milik lahan luas tinggi bibir pantai aman ombak	Aksesbilitas	Aksesbilitas	0.0001289440260734409	0.9926009774208069	2.731761742325034e-05	0.007242720108479261
ramai cocok tebing ngolang sunsetnya cantik	Daya Tarik	Daya Tarik	0.9988387227058411	0.0005267775268293917	0.00018268407438881695	0.00045182957546785474
jorok pantai kotor	Kebersihan	Kebersihan	0.0016779944999143481	0.008857420645654202	0.9853736162185669	0.004090927541255951
pantai indah pandang atas tinggi pantai watu lawang cocok suka ngecamp indah pandang pantai malam	Daya Tarik	Daya Tarik	0.965419352054596	0.0018866683822125196	0.031363409012556076	0.0013306678738445044
pantai asri unjung pandang alam kiri kanan indah 	Daya Tarik	Daya Tarik	0.9924283623695374	0.001916544628329575	0.004849734250456095	0.000805289892014116
pandang laut kidul pasir putih recommended kunjung sore	Daya Tarik	Daya Tarik	0.9989809393882751	0.00023142625286709517	0.00048543894081376493	0.000302206288324669
tempat bagus air jernih bersih pantai snorkeling	Kebersihan	Kebersihan	0.002699340460821986	0.00010963301610900089	0.9966020584106445	0.0005889228777959943
mobil sepi cocok nyari suasana tenang	Daya Tarik	Aksesbilitas	0.9738094806671143	0.024527663365006447	0.00016234544455073774	0.0015004859305918217
suka karang pas air laut nabrak karang liat bagus tebing sayang musti bayar sunset matahari halang tebing	Daya Tarik	Daya Tarik	0.9841254949569702	0.008535085245966911	0.0027322338428348303	0.004607249516993761
pantai indah selatan gunungkidul aman sikecil ombak tunda tahan pulau tengah kombinasi pasir putih karang pulau nyewa kano ribu puas mantul	Daya Tarik	Aksesbilitas	0.7369739413261414	0.0059258220717310905	0.01067807711660862	0.2464221715927124
